method_dir,method,n_runs,seeds,forget_quality,forget_quality_std,forget_quality_ci95,mia_mean,mia_mean_std,mia_mean_ci95,mia_range,mia_range_std,mia_range_ci95,mia_10,mia_10_std,mia_10_ci95,mia_20,mia_20_std,mia_20_ci95,mia_30,mia_30_std,mia_30_ci95,mia_40,mia_40_std,mia_40_ci95,mia_50,mia_50_std,mia_50_ci95,mia_60,mia_60_std,mia_60_ci95,forget_acc,forget_acc_std,forget_acc_ci95,forget_rougeL_score,forget_rougeL_score_std,forget_rougeL_score_ci95,forget_truth_prob,forget_truth_prob_std,forget_truth_prob_ci95,forget_truth_ratio,forget_truth_ratio_std,forget_truth_ratio_ci95,retain_acc,retain_acc_std,retain_acc_ci95,retain_rougeL_score,retain_rougeL_score_std,retain_rougeL_score_ci95,retain_truth_prob,retain_truth_prob_std,retain_truth_prob_ci95,retain_truth_ratio,retain_truth_ratio_std,retain_truth_ratio_ci95,real_author_acc,real_author_acc_std,real_author_acc_ci95,real_author_rougeL_score,real_author_rougeL_score_std,real_author_rougeL_score_ci95,real_author_truth_prob,real_author_truth_prob_std,real_author_truth_prob_ci95,real_author_truth_ratio,real_author_truth_ratio_std,real_author_truth_ratio_ci95,world_fact_acc,world_fact_acc_std,world_fact_acc_ci95,world_fact_rougeL_score,world_fact_rougeL_score_std,world_fact_rougeL_score_ci95,world_fact_truth_prob,world_fact_truth_prob_std,world_fact_truth_prob_ci95,world_fact_truth_ratio,world_fact_truth_ratio_std,world_fact_truth_ratio_ci95,utility_avg_acc,utility_avg_acc_std,utility_avg_acc_ci95,utility_avg_rouge,utility_avg_rouge_std,utility_avg_rouge_ci95,forget_retain_acc_gap,forget_retain_acc_gap_std,forget_retain_acc_gap_ci95,forget_retain_rouge_gap,forget_retain_rouge_gap_std,forget_retain_rouge_gap_ci95
PureGradientAscent,PGA,3,"3407,3408,3409",0.040751941528567454,0.0023425752183168225,0.005819749120734981,0.6420270105083288,0.01666778021496479,0.0414084032359665,0.06583209146739659,0.02525663378849329,0.06274602033437454,0.6042288748521417,0.032647030540514835,0.08110626536008757,0.6221757306328084,0.011426067508956667,0.02838621608337859,0.6502290777367268,0.01374626003147688,0.034150359017740786,0.6650337857478249,0.021216661580071995,0.05270936301643064,0.6578437319463925,0.021828824750633486,0.054230183370784675,0.6526508621340784,0.017756470402657397,0.044113077866277536,0.5889007305284795,0.0069294245856306455,0.017215034259774706,0.40759926169995614,0.010369467202839364,0.025761263571965638,0.2947415906794707,0.007284885789955975,0.018098120111256614,0.7623610378719416,0.002528588401669289,0.006281868779389298,0.5316261397234004,0.010042103100112117,0.024947980423526975,0.35723958865768324,0.0028160785214239033,0.006996091468411029,0.18539550309960504,0.005317680393836445,0.013210916582057764,0.8103536636060827,0.0013520825277424232,0.00335903028447639,0.8151959865637396,0.01359450457660009,0.03377334714286894,0.9068825672791386,0.004391602790977105,0.01091022660940217,0.6760692116990936,0.04213257232701215,0.10467155924692688,0.2799231964289235,0.013959735008709775,0.03468070306020134,0.79371424100406,0.010444337312497552,0.025947266246050805,0.8473277551444897,0.01524028577664697,0.03786202426068502,0.4510744676178932,0.03071227473263569,0.07629967758279865,0.3351968584238647,0.0173653553834999,0.043141415880335605,0.7135121224304,0.005113847511941901,0.012704526765454567,0.7038166370271038,0.004270101023082672,0.010608375125043243,-0.057274590805079094,0.01608415474676524,0.03995848018596798,-0.05035967304227288,0.009424281438015165,0.023413102462449924
GradientAscentFTMethod,GAFT,3,"3407,3408,3409",0.5610000280053596,0.03809880979940042,0.09465032887627965,0.4515888422375674,0.009162570443123455,0.02276292383830223,0.04124191675587385,0.00906845706388762,0.022529114374352257,0.46430990174092857,0.0031371396299199284,0.007793715847454228,0.4298078939618466,0.012530012955024039,0.031128789934947894,0.44385298893342345,0.018199651046933184,0.04521408847404106,0.458177766202968,0.009540041082833264,0.02370068857105342,0.4462931009458931,0.007788428820948508,0.019349091302686118,0.4670914016403446,0.011471899198354443,0.028500077500501472,0.541195289129147,0.007870441187284496,0.019552837757929594,0.38147841581713066,0.009453298698756111,0.023485191152009526,0.22638801200716593,0.0055395892099843755,0.013762213132777782,0.833730310428916,0.0034375254986711,0.008539975938433048,0.516960233405468,0.020691763572606124,0.05140533884101058,0.3611132179320232,0.0035291122643005633,0.008767508439663046,0.19513302683591138,0.010901171987459003,0.027082198083944336,0.8211580714148592,0.006901263433878601,0.017145072434486718,0.8205626532924064,0.007888638563286646,0.019598046194422954,0.8987681655306823,0.004036614401068641,0.010028315388841526,0.7099394800886862,0.031361176967362646,0.077911770197997,0.26610571544988393,0.012314841918060463,0.03059423230649481,0.7961483337039261,0.014173117533926183,0.035210817420584906,0.8443503836665712,0.007047995055880112,0.017509603409394277,0.5249396373152597,0.03502692905520236,0.08701873817205687,0.32241003380397937,0.002106869749348566,0.00523417701826646,0.7112237401339335,0.011990874746460364,0.029789388283846367,0.7014105890430922,0.003097313237911132,0.007694773620087128,-0.02423505572367901,0.02589102752922324,0.06432206894359088,-0.02036519788510747,0.008193907428824863,0.02035643730089095
IDKTuning,IDK,3,"3407,3408,3409",0.1052191505937381,0.0405796054856925,0.10081346438677784,0.42508207408000004,0.0076375201047930085,0.018974183013172045,0.030054714903146002,0.008074880826046103,0.020060734963800796,0.42548112433621726,0.006430696476081237,0.01597602496165643,0.40978219799491417,0.01072917332003903,0.026654895222692262,0.4210170512178038,0.015724010539052754,0.03906376017024166,0.43819309360648045,0.0028502809734863876,0.007081061926888193,0.42628874643044823,0.009528697489946685,0.023672507249825628,0.42973023089413637,0.00831658043447414,0.02066119853595527,0.5369195280106605,0.005796253825206212,0.014399854843097902,0.38620334567281983,0.013381268179271131,0.033243595813579475,0.20184646328874176,0.002163509218389518,0.0053748886153040226,0.8691399328666163,0.007048758109043327,0.017511499091522633,0.5122154076730029,0.0017156404685970915,0.004262231167880861,0.3640318778584282,0.003491747289081917,0.008674681204074322,0.2003880125861377,0.006744742026744557,0.01675622032232314,0.8163630072992945,0.0057274568500843455,0.014228939889185605,0.8131943100720699,0.011386385227576349,0.028287631875552045,0.8995478231664896,0.00038770465160414564,0.0009631894795247205,0.7006645409136599,0.020865583088878596,0.051837165306638504,0.2895230093245294,0.011973814510532742,0.02974700488788837,0.7912491867599443,0.01104733698839886,0.02744532138049879,0.845500740764329,0.00959352667974906,0.023833564883066292,0.49456503808613594,0.019814875695981594,0.04922685278469707,0.35197907928047617,0.012778488580949536,0.03174608742627157,0.705552968168339,0.0008637380831768807,0.0021458175220199593,0.7030268139297489,0.002395102966459137,0.005950245812442099,-0.024704120337657603,0.007221591004596734,0.017940874457601053,-0.022171467814391593,0.01176260128111936,0.02922227979195342
