method_dir,method,seed,result_path,forget_quality,mia_mean,mia_min,mia_max,mia_range,mia_10,mia_20,mia_30,mia_40,mia_50,mia_60,forget_acc,forget_rougeL_score,forget_truth_prob,forget_truth_ratio,retain_acc,retain_rougeL_score,retain_truth_prob,retain_truth_ratio,real_author_acc,real_author_rougeL_score,real_author_truth_prob,real_author_truth_ratio,world_fact_acc,world_fact_rougeL_score,world_fact_truth_prob,world_fact_truth_ratio,utility_avg_acc,utility_avg_rouge,forget_retain_acc_gap,forget_retain_rouge_gap
PureGradientAscent,PGA,3407,LLaMa-3.2-1B/results/PureGradientAscent_seed_3407/important.json,0.03996893116322143,0.6602933464752582,0.6179466513243165,0.6894332730472778,0.07148662172296127,0.6179466513243165,0.6352715560216049,0.6655404493857581,0.6894332730472778,0.6808558543499104,0.6727122947226817,0.5883227582935242,0.41607231866149724,0.28653066746516015,0.7644017506935775,0.5251850155945711,0.35624452896366765,0.18487126406646234,0.809332837024151,0.8280144191160271,0.9054891619492185,0.6277266131317468,0.29602295839049214,0.8042368689745352,0.8575181548566402,0.4156764181716544,0.35416819013099277,0.7191454345617111,0.7064172819231754,-0.06313774269895311,-0.05982778969782959
PureGradientAscent,PGA,3408,LLaMa-3.2-1B/results/PureGradientAscent_seed_3408/important.json,0.038901164452181045,0.6276430687674244,0.5669611793456615,0.6547433595798654,0.08778218023420392,0.5669611793456615,0.6142387402736088,0.6461970762971858,0.6547433595798654,0.637430973441031,0.6462870836671938,0.5961010396856984,0.41068948757330587,0.3004298080950894,0.759532262900678,0.5264963859470195,0.36041810533659346,0.18035935829207084,0.8118870930157107,0.8166338331049844,0.903356712512443,0.7049732188448875,0.2725606655038009,0.7935558582689429,0.8546576559251826,0.4669087159994325,0.3200878485883948,0.7122286924403156,0.7061441579247397,-0.06960465373867886,-0.0502713822367124
PureGradientAscent,PGA,3409,LLaMa-3.2-1B/results/PureGradientAscent_seed_3409/important.json,0.04338572897029989,0.6381446162823037,0.6170168956032115,0.655244368048236,0.03822747244502456,0.6277787938864471,0.6170168956032115,0.6389497075272365,0.6509247246163314,0.655244368048236,0.6389532080123597,0.5822783936062159,0.39603597886506525,0.2972642964781625,0.7631491000215695,0.5431970176286106,0.3550561316727886,0.19095588694028195,0.8098410607783864,0.8009397074702073,0.9118018273757543,0.6955078031206466,0.27118596539247747,0.7833499957687017,0.8298074546516461,0.47063826868259273,0.33133453655220657,0.7091622402891732,0.6988884712333964,-0.039081375977605304,-0.04097984719227665
GradientAscentFTMethod,GAFT,3407,LLaMa-3.2-1B/results/GradientAscentFTMethod_seed_3407/important.json,0.5350177244894737,0.45006014014533907,0.4321314780835795,0.466503996934818,0.03437251885123849,0.46340614789673906,0.4321314780835795,0.43448231183648683,0.4576989227503238,0.4461379833700872,0.466503996934818,0.5321610639519461,0.3709048351658028,0.22973413753859276,0.8368766316330887,0.5279430076323117,0.3581967888534517,0.18439417903668698,0.8281123916365358,0.8131414260699019,0.9034251424091192,0.6798499338286794,0.2719210967464247,0.8065832225238858,0.8521925106425776,0.4878775301931122,0.3248269097826433,0.7158892187420332,0.7046048139683828,-0.004218056319634345,-0.012708046312351118
GradientAscentFTMethod,GAFT,3408,LLaMa-3.2-1B/results/GradientAscentFTMethod_seed_3408/important.json,0.6047354350988474,0.46141961482473687,0.4410134760068683,0.47884571863636105,0.03783224262949275,0.46172384074406436,0.4410134760068683,0.46482851183593904,0.4679482117763404,0.4541579299488482,0.47884571863636105,0.5448574595745446,0.3844169300846399,0.22943613887557288,0.8342528785101624,0.5298450015606617,0.36503627819595047,0.20618957757242293,0.8210507050179706,0.828847614755117,0.8962703236498322,0.7075346737057496,0.27443596663936576,0.8018493178492283,0.8423134692376542,0.5294462151004613,0.3214422886033597,0.720180644721669,0.7012066903611456,-0.015012458013882846,-0.019380651888689426
GradientAscentFTMethod,GAFT,3409,LLaMa-3.2-1B/results/GradientAscentFTMethod_seed_3409/important.json,0.5432469244277578,0.4432867717426262,0.41627872779509195,0.4677997165819823,0.05152098878689032,0.4677997165819823,0.41627872779509195,0.4322481431278445,0.4488861640822398,0.43858338951874387,0.4559244893498547,0.5465673438609506,0.3891134822009493,0.21999375960733217,0.8300614211434968,0.4930926910234308,0.36010658674666746,0.19481532389862422,0.8143111175900712,0.8196989190522003,0.8966090305330954,0.7424338327316298,0.2519600829638613,0.7800124607386644,0.8385451711194819,0.5574951666522057,0.3209609030259351,0.6976013569380984,0.6984202627997482,-0.05347465283751984,-0.029006895454281867
IDKTuning,IDK,3407,LLaMa-3.2-1B/results/IDKTuning_seed_3407/important.json,0.15205629608178042,0.4221423750925992,0.40588507132180607,0.4381650915084404,0.03228002018663434,0.41970153546542804,0.4108165291965451,0.40588507132180607,0.4381650915084404,0.43052276417078106,0.42776325889259464,0.5302870025172733,0.3953050923485699,0.2003276975718142,0.8618855530855566,0.5139209232869141,0.3626901184716553,0.19306111920239155,0.8162985152137475,0.8052724935294087,0.899810778974018,0.6799567276663516,0.2962208283037167,0.799721836282769,0.8540559486902342,0.4890229070076135,0.3495503892658559,0.706305084366364,0.7055189487119691,-0.016366079230359265,-0.032614973876914644
IDKTuning,IDK,3408,LLaMa-3.2-1B/results/IDKTuning_seed_3408/important.json,0.08061073194649589,0.41935120550195765,0.3985733169398118,0.4353569168470651,0.03678359990725333,0.42433345403108835,0.3985733169398118,0.41989328307063206,0.4353569168470651,0.4153768017341472,0.42257346038900145,0.5410128123728158,0.3924657509160888,0.20432363110489685,0.8695709576528502,0.5122354812274894,0.36799548597089454,0.20176475422165852,0.8106680688201798,0.8262427584698089,0.8991025689421708,0.7216843938396751,0.27569905092697483,0.7787542717990621,0.8351287076104305,0.5165609023546052,0.3405892238362257,0.7057441704987868,0.7007422541744985,-0.028777331145326435,-0.024470264945194276
IDKTuning,IDK,3409,LLaMa-3.2-1B/results/IDKTuning_seed_3409/important.json,0.08299042375293798,0.43375264164544325,0.41995674784838555,0.4410572724639359,0.021100524615550342,0.4324083835121354,0.41995674784838555,0.43727279926097323,0.4410572724639359,0.4329666733864165,0.438853973400813,0.5394587691418923,0.37083919375380076,0.2008880611895142,0.875963287861442,0.5104898185046052,0.3614100291327349,0.20633816433436303,0.822122437863956,0.808067678216992,0.8997301215832801,0.7003525012349532,0.29664914874289666,0.7952714521980017,0.8473175659923223,0.4781113048961891,0.3657976247393469,0.7046096496398663,0.7028192389027791,-0.028968950637287105,-0.009429164621065855
