method_dir,method,seed,result_path,forget_quality,mia_mean,mia_min,mia_max,mia_range,mia_10,mia_20,mia_30,mia_40,mia_50,mia_60,forget_acc,forget_rougeL_score,forget_truth_prob,forget_truth_ratio,retain_acc,retain_rougeL_score,retain_truth_prob,retain_truth_ratio,real_author_acc,real_author_rougeL_score,real_author_truth_prob,real_author_truth_ratio,world_fact_acc,world_fact_rougeL_score,world_fact_truth_prob,world_fact_truth_ratio,utility_avg_acc,utility_avg_rouge,forget_retain_acc_gap,forget_retain_rouge_gap
GradientAscentFTMethod,GAFT,single_run,results/GradientAscentFTMethod/important.json,0.5812138636684575,0.4397715053763441,0.41305875576036866,0.454176267281106,0.04111751152073734,0.44957373271889395,0.41305875576036866,0.4326497695852535,0.454176267281106,0.4442741935483871,0.44489631336405533,0.595,0.42574866258363064,0.23911556962877512,0.8268854127543842,0.5625,0.4019853099846963,0.21322543505579233,0.806968099241266,0.93,0.9789999999999999,0.8186897750198842,0.26271727971934444,0.8803418803418803,0.9074074074074073,0.5964900311878604,0.3199480316699926,0.7909472934472934,0.7627975724640345,-0.03249999999999997,-0.023763352598934362
IDKTuning,IDK,single_run,results/IDKTuning/important.json,0.11114884622967085,0.383963133640553,0.36517281105990784,0.4043778801843318,0.03920506912442395,0.4043778801843318,0.36517281105990784,0.3756566820276498,0.3899654377880184,0.38109447004608293,0.3875115207373272,0.5175,0.3818134535095068,0.1825832992233336,0.8862682141785477,0.5425,0.36081101040379954,0.17867540748789906,0.831643881784296,0.92,0.972,0.6805538761615754,0.298645965479922,0.8547008547008547,0.8931623931623932,0.4866128575343352,0.34902055188417275,0.7724002849002849,0.7419911345220642,0.025000000000000022,-0.021002443105707258
PureGradientAscent,PGA,single_run,results/PureGradientAscent/important.json,0.054052912731737235,0.6072091013824885,0.5858064516129032,0.6251958525345622,0.03938940092165899,0.5881509216589862,0.5858064516129032,0.6082373271889401,0.6251958525345622,0.6169239631336405,0.6189400921658986,0.59,0.4204177761467004,0.308514390848577,0.7439444671359914,0.5675,0.3880723714757191,0.20303893794305622,0.790933248450957,0.91,0.982,0.7502998937666416,0.2589580862861968,0.8717948717948718,0.9002849002849004,0.4963072892756034,0.3166734344930855,0.7830982905982906,0.7567857572535398,-0.022499999999999964,-0.03234540467098129
