method_dir,method,n_runs,seeds,forget_quality,forget_quality_std,forget_quality_ci95,mia_mean,mia_mean_std,mia_mean_ci95,mia_range,mia_range_std,mia_range_ci95,mia_10,mia_10_std,mia_10_ci95,mia_20,mia_20_std,mia_20_ci95,mia_30,mia_30_std,mia_30_ci95,mia_40,mia_40_std,mia_40_ci95,mia_50,mia_50_std,mia_50_ci95,mia_60,mia_60_std,mia_60_ci95,forget_acc,forget_acc_std,forget_acc_ci95,forget_rougeL_score,forget_rougeL_score_std,forget_rougeL_score_ci95,forget_truth_prob,forget_truth_prob_std,forget_truth_prob_ci95,forget_truth_ratio,forget_truth_ratio_std,forget_truth_ratio_ci95,retain_acc,retain_acc_std,retain_acc_ci95,retain_rougeL_score,retain_rougeL_score_std,retain_rougeL_score_ci95,retain_truth_prob,retain_truth_prob_std,retain_truth_prob_ci95,retain_truth_ratio,retain_truth_ratio_std,retain_truth_ratio_ci95,real_author_acc,real_author_acc_std,real_author_acc_ci95,real_author_rougeL_score,real_author_rougeL_score_std,real_author_rougeL_score_ci95,real_author_truth_prob,real_author_truth_prob_std,real_author_truth_prob_ci95,real_author_truth_ratio,real_author_truth_ratio_std,real_author_truth_ratio_ci95,world_fact_acc,world_fact_acc_std,world_fact_acc_ci95,world_fact_rougeL_score,world_fact_rougeL_score_std,world_fact_rougeL_score_ci95,world_fact_truth_prob,world_fact_truth_prob_std,world_fact_truth_prob_ci95,world_fact_truth_ratio,world_fact_truth_ratio_std,world_fact_truth_ratio_ci95,utility_avg_acc,utility_avg_acc_std,utility_avg_acc_ci95,utility_avg_rouge,utility_avg_rouge_std,utility_avg_rouge_ci95,forget_retain_acc_gap,forget_retain_acc_gap_std,forget_retain_acc_gap_ci95,forget_retain_rouge_gap,forget_retain_rouge_gap_std,forget_retain_rouge_gap_ci95
PureGradientAscent,PGA,1,single_run,0.054052912731737235,0.0,0.0,0.6072091013824885,0.0,0.0,0.03938940092165899,0.0,0.0,0.5881509216589862,0.0,0.0,0.5858064516129032,0.0,0.0,0.6082373271889401,0.0,0.0,0.6251958525345622,0.0,0.0,0.6169239631336405,0.0,0.0,0.6189400921658986,0.0,0.0,0.59,0.0,0.0,0.4204177761467004,0.0,0.0,0.308514390848577,0.0,0.0,0.7439444671359914,0.0,0.0,0.5675,0.0,0.0,0.3880723714757191,0.0,0.0,0.20303893794305622,0.0,0.0,0.790933248450957,0.0,0.0,0.91,0.0,0.0,0.982,0.0,0.0,0.7502998937666416,0.0,0.0,0.2589580862861968,0.0,0.0,0.8717948717948718,0.0,0.0,0.9002849002849004,0.0,0.0,0.4963072892756034,0.0,0.0,0.3166734344930855,0.0,0.0,0.7830982905982906,0.0,0.0,0.7567857572535398,0.0,0.0,-0.022499999999999964,0.0,0.0,-0.03234540467098129,0.0,0.0
GradientAscentFTMethod,GAFT,1,single_run,0.5812138636684575,0.0,0.0,0.4397715053763441,0.0,0.0,0.04111751152073734,0.0,0.0,0.44957373271889395,0.0,0.0,0.41305875576036866,0.0,0.0,0.4326497695852535,0.0,0.0,0.454176267281106,0.0,0.0,0.4442741935483871,0.0,0.0,0.44489631336405533,0.0,0.0,0.595,0.0,0.0,0.42574866258363064,0.0,0.0,0.23911556962877512,0.0,0.0,0.8268854127543842,0.0,0.0,0.5625,0.0,0.0,0.4019853099846963,0.0,0.0,0.21322543505579233,0.0,0.0,0.806968099241266,0.0,0.0,0.93,0.0,0.0,0.9789999999999999,0.0,0.0,0.8186897750198842,0.0,0.0,0.26271727971934444,0.0,0.0,0.8803418803418803,0.0,0.0,0.9074074074074073,0.0,0.0,0.5964900311878604,0.0,0.0,0.3199480316699926,0.0,0.0,0.7909472934472934,0.0,0.0,0.7627975724640345,0.0,0.0,-0.03249999999999997,0.0,0.0,-0.023763352598934362,0.0,0.0
IDKTuning,IDK,1,single_run,0.11114884622967085,0.0,0.0,0.383963133640553,0.0,0.0,0.03920506912442395,0.0,0.0,0.4043778801843318,0.0,0.0,0.36517281105990784,0.0,0.0,0.3756566820276498,0.0,0.0,0.3899654377880184,0.0,0.0,0.38109447004608293,0.0,0.0,0.3875115207373272,0.0,0.0,0.5175,0.0,0.0,0.3818134535095068,0.0,0.0,0.1825832992233336,0.0,0.0,0.8862682141785477,0.0,0.0,0.5425,0.0,0.0,0.36081101040379954,0.0,0.0,0.17867540748789906,0.0,0.0,0.831643881784296,0.0,0.0,0.92,0.0,0.0,0.972,0.0,0.0,0.6805538761615754,0.0,0.0,0.298645965479922,0.0,0.0,0.8547008547008547,0.0,0.0,0.8931623931623932,0.0,0.0,0.4866128575343352,0.0,0.0,0.34902055188417275,0.0,0.0,0.7724002849002849,0.0,0.0,0.7419911345220642,0.0,0.0,0.025000000000000022,0.0,0.0,-0.021002443105707258,0.0,0.0
