method_dir,method,n_runs,seeds,forget_quality,forget_quality_std,forget_quality_ci95,mia_mean,mia_mean_std,mia_mean_ci95,mia_range,mia_range_std,mia_range_ci95,mia_10,mia_10_std,mia_10_ci95,mia_20,mia_20_std,mia_20_ci95,mia_30,mia_30_std,mia_30_ci95,mia_40,mia_40_std,mia_40_ci95,mia_50,mia_50_std,mia_50_ci95,mia_60,mia_60_std,mia_60_ci95,forget_acc,forget_acc_std,forget_acc_ci95,forget_rougeL_score,forget_rougeL_score_std,forget_rougeL_score_ci95,forget_truth_prob,forget_truth_prob_std,forget_truth_prob_ci95,forget_truth_ratio,forget_truth_ratio_std,forget_truth_ratio_ci95,retain_acc,retain_acc_std,retain_acc_ci95,retain_rougeL_score,retain_rougeL_score_std,retain_rougeL_score_ci95,retain_truth_prob,retain_truth_prob_std,retain_truth_prob_ci95,retain_truth_ratio,retain_truth_ratio_std,retain_truth_ratio_ci95,real_author_acc,real_author_acc_std,real_author_acc_ci95,real_author_rougeL_score,real_author_rougeL_score_std,real_author_rougeL_score_ci95,real_author_truth_prob,real_author_truth_prob_std,real_author_truth_prob_ci95,real_author_truth_ratio,real_author_truth_ratio_std,real_author_truth_ratio_ci95,world_fact_acc,world_fact_acc_std,world_fact_acc_ci95,world_fact_rougeL_score,world_fact_rougeL_score_std,world_fact_rougeL_score_ci95,world_fact_truth_prob,world_fact_truth_prob_std,world_fact_truth_prob_ci95,world_fact_truth_ratio,world_fact_truth_ratio_std,world_fact_truth_ratio_ci95,utility_avg_acc,utility_avg_acc_std,utility_avg_acc_ci95,utility_avg_rouge,utility_avg_rouge_std,utility_avg_rouge_ci95,forget_retain_acc_gap,forget_retain_acc_gap_std,forget_retain_acc_gap_ci95,forget_retain_rouge_gap,forget_retain_rouge_gap_std,forget_retain_rouge_gap_ci95
PureGradientAscent,PGA,3,"3407,3408,3409",0.039237394576962514,0.004620311639054758,0.011478416739263015,0.6218958013312852,0.013010118854128472,0.03232153536413429,0.06382488479262687,0.010705224787150488,0.02659539896740398,0.5863460061443933,0.01974390735473665,0.04905054342296096,0.5926747311827957,0.014485264914157367,0.03598629708392115,0.6268049155145929,0.01037667114843147,0.025779160609250788,0.6461962365591399,0.012962163696475381,0.032202398533690564,0.6386386328725039,0.014150467656678394,0.03515454746512439,0.6407142857142857,0.01409240493870377,0.035010300036380955,0.6183333333333334,0.0038188130791298944,0.009487223242925847,0.42569066204949635,0.0033145360920754266,0.00823442865640845,0.3100439635353784,0.000564332800227104,0.0014019935378140826,0.7398088480534561,0.0013784502222604841,0.0034245365554329966,0.57,0.006614378277661503,0.016432352679495884,0.383089189415939,0.003824668444192177,0.009501769950073756,0.2016566458887731,0.0019036690680718726,0.004729357801813514,0.7894092409847163,0.00045971744740361617,0.0011420936196175043,0.92,0.010000000000000009,0.024843382083229622,0.9790000000000001,0.0020000000000000573,0.004968676416646062,0.7473918991784255,0.04441818614753294,0.11034979699071769,0.2589408792178547,0.014852523330590131,0.03689869120019325,0.8803418803418803,0.008547008547008517,0.021233659900196163,0.9050332383665717,0.014619947120931344,0.03632089323619099,0.48745993766774476,0.03369305009974568,0.08370493171773791,0.3215482828232322,0.016554938667290704,0.04112806666759347,0.7901139601139601,0.0047407388145815545,0.011777598572744652,0.7557074759275035,0.004331164169326181,0.010760076632376403,-0.048333333333333374,0.009464847243000509,0.02351388164172639,-0.04260147263355737,0.0064044900031163835,0.015910919219564463
GradientAscentFTMethod,GAFT,3,"3407,3408,3409",0.5426780232768619,0.03337301673530429,0.08290986060251801,0.44176939324116743,0.008730779398846169,0.0216902088489925,0.03356950844854075,0.003876862203043344,0.009631436899423704,0.4503801843317972,0.009932739835923134,0.02467628508771537,0.4199347158218126,0.012263836158407001,0.03046751674894318,0.43689132104454687,0.010453690565151328,0.02597050288899068,0.4528801843317973,0.009110450551691443,0.022633440400604037,0.44413978494623657,0.007270364215619407,0.01806204360928728,0.4463901689708141,0.006128711026080565,0.015225790969862159,0.57,0.0025000000000000022,0.0062108455208074054,0.4022022486521133,0.008540817851641647,0.02121828011916016,0.2376935357383142,0.0062822966001380145,0.015607349479740297,0.821756166013205,0.005548401077043812,0.013784104790800205,0.5533333333333333,0.017559422921421194,0.04362354527978864,0.38245807956527894,0.006389774820990639,0.015874361730367045,0.20912487518042325,0.005090047257389697,0.012645398883702714,0.8001472986622228,0.003211799638988693,0.0079791965606175,0.94,0.009999999999999953,0.02484338208322948,0.9776666666666666,0.0011547005383791885,0.00286866666666651,0.7925696569681168,0.030175402840242123,0.07496590622755066,0.2548308895970317,0.005561196633101213,0.013815893279610345,0.8803418803418803,0.01709401709401709,0.04246731980039246,0.9074074074074074,0.010754749907793052,0.02671843611688811,0.5693636984057576,0.04346462404793025,0.10798082623266607,0.3057504979701482,0.008212562919227404,0.020402783848492985,0.7912250712250712,0.010653527974254695,0.02646696659987844,0.7558440512131177,0.004983606910196102,0.012380965062262507,-0.016666666666666646,0.020052015692526577,0.04981598873883535,-0.01974416908683435,0.006852074108396853,0.01702286951375078
IDKTuning,IDK,3,"3407,3408,3409",0.10373622033372601,0.04406051403551602,0.10946121849678249,0.4170564516129032,0.007014320013328858,0.017425943214517296,0.026313364055299566,0.0029540134297023173,0.007338768431308616,0.42425691244239633,0.008262666064390014,0.020527257006377607,0.39894969278033793,0.0060926249606271295,0.015136140978668146,0.4122599846390169,0.0057847678347114975,0.01437131975805145,0.4252630568356375,0.007630880478674099,0.01895768793631586,0.4188556067588326,0.008635669382827808,0.021453923402203874,0.42275345622119814,0.006852108041480158,0.01702295381500616,0.5616666666666666,0.006291528696058934,0.015630285128379537,0.40328261290784456,0.006777821424958089,0.016838400735213352,0.2106271401202927,0.0014560724791588431,0.0036173764940618507,0.8504363573655428,0.0002709842175554972,0.000673216445525623,0.545,0.0050000000000000044,0.012421691041614811,0.3901399585594716,0.008893996958307209,0.02209569646823079,0.20870377090138695,0.0020319601978672384,0.005048076357353062,0.8000994492138569,0.00046792908585696944,0.0011624941067801039,0.92,0.010000000000000009,0.024843382083229622,0.9783333333333334,0.002309401076758569,0.005737333333333498,0.7755540405710538,0.02066915593329129,0.051349173818860755,0.2773543638309062,0.005465849952785011,0.013579019878664047,0.8746438746438746,0.017792017089454125,0.044201387858465946,0.9017094017094016,0.01075474990779311,0.02671843611688825,0.5394678077636621,0.022894262891507356,0.05687709205276221,0.336505406500851,0.012897911930482604,0.03204277541648248,0.7798812915479583,0.003204347272172767,0.007960682360994255,0.7567275645340689,0.004100355596461866,0.010186670076001093,-0.016666666666666646,0.0014433756729740337,0.003585833333333257,-0.01314265434837301,0.0022176407805573123,0.005509369723473683
