method_dir,method,seed,result_path,forget_quality,mia_mean,mia_min,mia_max,mia_range,mia_10,mia_20,mia_30,mia_40,mia_50,mia_60,forget_acc,forget_rougeL_score,forget_truth_prob,forget_truth_ratio,retain_acc,retain_rougeL_score,retain_truth_prob,retain_truth_ratio,real_author_acc,real_author_rougeL_score,real_author_truth_prob,real_author_truth_ratio,world_fact_acc,world_fact_rougeL_score,world_fact_truth_prob,world_fact_truth_ratio,utility_avg_acc,utility_avg_rouge,forget_retain_acc_gap,forget_retain_rouge_gap
PureGradientAscent,PGA,3407,LLaMa-3.2-8B/results/PureGradientAscent_seed_3407/important.json,0.036569856408414286,0.6364564132104454,0.5975921658986174,0.661152073732719,0.06355990783410159,0.5975921658986174,0.6092972350230415,0.6387730414746544,0.661152073732719,0.654942396313364,0.6569815668202765,0.6225,0.427563021053604,0.309439499117434,0.7414005449149583,0.5675,0.38483607439974193,0.20141631219536066,0.7897212647178846,0.93,0.9790000000000001,0.6961911369115115,0.2760894787147652,0.8888888888888888,0.9173789173789174,0.44868622024535626,0.33773375202419836,0.7954629629629629,0.7604049972595531,-0.05500000000000005,-0.042726946653862063
PureGradientAscent,PGA,3408,LLaMa-3.2-8B/results/PureGradientAscent_seed_3408/important.json,0.036569856408414286,0.6114132104454686,0.5635483870967742,0.6382085253456222,0.07466013824884798,0.5635483870967742,0.5827534562211981,0.6203225806451613,0.6382085253456222,0.6314228110599078,0.6322235023041475,0.6175,0.42764530480511825,0.31013539113104344,0.7390139167176096,0.565,0.3787030010823885,0.19988455595914276,0.7896251444632069,0.92,0.977,0.7756069921702147,0.2505705421048143,0.8803418803418803,0.9088319088319089,0.5096164087995759,0.3046470901093113,0.7884472934472935,0.7548449699714325,-0.0525000000000001,-0.04894230372272973
PureGradientAscent,PGA,3409,LLaMa-3.2-8B/results/PureGradientAscent_seed_3409/important.json,0.04457247091405896,0.6178177803379417,0.5859735023041475,0.6392281105990785,0.053254608294931005,0.597897465437788,0.5859735023041475,0.6213191244239631,0.6392281105990785,0.6295506912442397,0.6329377880184331,0.615,0.4218636602897668,0.31055700035765765,0.7390120825278005,0.5775,0.3857284927656865,0.2036690695118159,0.7888813137730574,0.91,0.9810000000000001,0.7703775684535503,0.25016261683398466,0.8717948717948718,0.8888888888888888,0.5040771839583021,0.322264006336187,0.7864316239316239,0.7518724605515251,-0.03749999999999998,-0.0361351675240803
GradientAscentFTMethod,GAFT,3407,LLaMa-3.2-8B/results/GradientAscentFTMethod_seed_3407/important.json,0.5234101030810641,0.43521409370199693,0.4084907834101383,0.4463882488479263,0.03789746543778805,0.4402304147465438,0.4084907834101383,0.4288133640552996,0.4463882488479263,0.44149769585253457,0.4458640552995392,0.57,0.39304832078179447,0.23165705206803977,0.8270148437885768,0.555,0.3804359752803219,0.20403669886291026,0.8026346007614279,0.93,0.977,0.7609102056920528,0.2596276251556846,0.8974358974358975,0.9173789173789174,0.527828961578954,0.315129908826799,0.7941452991452992,0.7582716308864131,-0.014999999999999902,-0.012612345501472555
GradientAscentFTMethod,GAFT,3408,LLaMa-3.2-8B/results/GradientAscentFTMethod_seed_3408/important.json,0.5812138636684575,0.4516801075268817,0.4328801843317972,0.46329493087557605,0.030414746543778848,0.4600806451612903,0.4328801843317972,0.44869815668202767,0.46329493087557605,0.4523617511520738,0.45276497695852536,0.5675,0.4099572265871901,0.24419572637416423,0.8159575234870444,0.57,0.3896142552181952,0.21421679131686688,0.7965212846844594,0.95,0.9789999999999999,0.795797228217125,0.25612987275821414,0.8803418803418803,0.9088319088319089,0.5657318297168638,0.2998499338841442,0.8001139601139601,0.7591487213500346,0.0024999999999999467,-0.020342971368994878
GradientAscentFTMethod,GAFT,3409,LLaMa-3.2-8B/results/GradientAscentFTMethod_seed_3409/important.json,0.5234101030810641,0.43841397849462366,0.41843317972350225,0.4508294930875576,0.03239631336405535,0.4508294930875576,0.41843317972350225,0.43316244239631335,0.44895737327188945,0.43855990783410137,0.4405414746543779,0.5725,0.4036011985873553,0.23722782877273857,0.8222961307639939,0.535,0.3773240081973197,0.20912113536149263,0.8012860105407812,0.94,0.977,0.8210015369951725,0.2487351708771963,0.8632478632478633,0.8960113960113961,0.614530303921455,0.30227165119950145,0.7794159544159545,0.7501118014029052,-0.03749999999999998,-0.02627719039003562
IDKTuning,IDK,3407,LLaMa-3.2-8B/results/IDKTuning_seed_3407/important.json,0.15461291961180293,0.41221102150537636,0.39302995391705065,0.4200864055299539,0.027056451612903265,0.41878456221198157,0.39302995391705065,0.40671082949308757,0.4200864055299539,0.4150230414746544,0.41963133640552996,0.555,0.40768491031675813,0.21027723300270737,0.8504375457615473,0.54,0.39517112056884246,0.20934414862655104,0.7995612381232331,0.92,0.977,0.7593153293430805,0.28042267528721604,0.8888888888888888,0.9116809116809116,0.5278595930490738,0.3370698281102228,0.782962962962963,0.761284010749918,-0.015000000000000013,-0.012513789747915671
IDKTuning,IDK,3408,LLaMa-3.2-8B/results/IDKTuning_seed_3408/important.json,0.07829787069468755,0.41385848694316435,0.3986175115207373,0.42167626728110597,0.023058755760368643,0.4202246543778802,0.3986175115207373,0.41181451612903225,0.42167626728110597,0.41279953917050694,0.41801843317972354,0.5625,0.40668536431056546,0.20937790239229798,0.8501647809043749,0.545,0.3953780049975367,0.20642876759171486,0.800327272246671,0.93,0.9810000000000001,0.7988207457959652,0.27104374347798244,0.8547008547008547,0.8903133903133902,0.5658409278999027,0.3233345493998452,0.7765669515669515,0.7555637984369756,-0.01749999999999996,-0.011307359313028731
IDKTuning,IDK,3409,LLaMa-3.2-8B/results/IDKTuning_seed_3409/important.json,0.07829787069468755,0.42509984639016896,0.40520161290322576,0.43402649769585255,0.028824884792626793,0.4337615207373272,0.40520161290322576,0.4182546082949309,0.43402649769585255,0.4287442396313364,0.430610599078341,0.5675,0.39547756409621015,0.21222628496587276,0.8507067454307061,0.55,0.3798707501120355,0.21033839648589492,0.8004098372716665,0.91,0.977,0.7685260465741157,0.28059667272752015,0.8803418803418803,0.9031339031339031,0.5247029023420098,0.349111841992485,0.7801139601139602,0.7533348844153128,-0.01749999999999996,-0.015606813984174628
